Year,Round,Circuit,Driver,Team,SubSession,LapTime_s,GridPosition,Sector1_s,Sector2_s,Sector3_s,TyreLife,Compound,FreshTyre,SpeedI1,SpeedI2,SpeedFL,SpeedST,AirTemp_C,TrackTemp_C,Humidity_pct,Pressure_hPa,WindSpeed_ms,Rainfall,FP1_s,FP2_s,FP3_s,IsSprintWeekend,SubSession_ord,Wet
2022,2,SAUDI ARABIAN GRAND PRIX,ZHO,Kick Sauber,Q1,89.978,13.0,32.985,28.735,28.258,6.0,SOFT,True,285.0,322.0,298.0,326.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.608,91.615,90.946,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,RIC,McLaren,Q1,90.009,12.0,32.741,28.833,28.435,4.0,SOFT,True,284.0,315.0,291.0,321.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.506,91.527,91.186,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,OCO,Alpine,Q1,90.093,5.0,32.894,28.85,28.349,6.0,SOFT,True,286.0,319.0,301.0,324.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.026,90.76,90.139,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,MSC,Haas F1 Team,Q1,90.167,14.0,32.896,29.035,28.236,3.0,SOFT,True,283.0,320.0,300.0,326.0,23.4,25.3,59.0,1014.5,3.0,0.0,94.429,91.169,90.765,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,STR,Aston Martin,Q1,90.256,15.0,33.048,28.884,28.324,2.0,SOFT,True,288.0,320.0,303.0,326.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.582,91.372,91.067,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,HAM,Mercedes,Q1,90.343,16.0,33.085,28.967,28.291,6.0,SOFT,True,285.0,317.0,299.0,324.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.364,90.513,90.707,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,ALB,Williams,Q1,90.492,17.0,33.167,28.975,28.35,4.0,SOFT,True,288.0,323.0,304.0,326.0,23.4,25.3,59.0,1014.5,3.0,0.0,93.087,91.866,91.374,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,HUL,Aston Martin,Q1,90.543,18.0,33.201,28.915,28.427,2.0,SOFT,True,287.0,318.0,302.0,325.0,23.4,25.3,59.0,1014.5,3.0,0.0,93.034,91.615,91.424,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,LAT,Williams,Q1,91.817,19.0,33.926,29.247,28.644,2.0,SOFT,True,282.0,321.0,301.0,325.0,23.4,25.3,59.0,1014.5,3.0,0.0,93.529,91.814,91.992,0,1,0
2022,2,SAUDI ARABIAN GRAND PRIX,SAI,Ferrari,Q2,73.67,3.0,,33.035,31.369,2.0,SOFT,False,255.0,296.0,290.0,294.0,23.4,25.3,59.0,1014.5,3.0,0.0,91.139,90.32,90.009,0,2,0
2022,2,SAUDI ARABIAN GRAND PRIX,LEC,Ferrari,Q2,88.78,2.0,32.565,28.448,27.767,4.0,SOFT,False,282.0,322.0,300.0,326.0,23.4,25.3,59.0,1014.5,3.0,0.0,90.772,90.074,89.735,0,2,0
2022,2,SAUDI ARABIAN GRAND PRIX,PER,Red Bull Racing,Q2,88.924,1.0,32.69,28.48,27.754,2.0,SOFT,True,289.0,330.0,305.0,333.0,23.4,25.3,59.0,1014.5,3.0,0.0,91.563,90.36,89.833,0,2,0
2022,2,SAUDI ARABIAN GRAND PRIX,VER,Red Bull Racing,Q2,88.945,4.0,32.681,28.347,27.917,3.0,SOFT,True,288.0,328.0,306.0,332.0,23.4,25.3,59.0,1014.5,3.0,0.0,90.888,90.214,89.768,0,2,0
2022,2,SAUDI ARABIAN GRAND PRIX,ALO,Alpine,Q2,89.295,7.0,32.668,28.716,27.911,6.0,SOFT,False,282.0,315.0,299.0,326.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.381,90.944,90.296,0,2,0
2022,2,SAUDI ARABIAN GRAND PRIX,BOT,Kick Sauber,Q2,89.404,8.0,32.795,28.654,27.955,3.0,SOFT,True,283.0,324.0,299.0,328.0,23.4,25.3,59.0,1014.5,3.0,0.0,91.084,90.832,90.03,0,2,0
2022,2,SAUDI ARABIAN GRAND PRIX,GAS,Racing Bulls,Q2,89.418,9.0,32.722,28.574,28.122,4.0,SOFT,False,284.0,323.0,295.0,326.0,23.4,25.3,59.0,1014.5,3.0,0.0,91.317,90.963,90.148,0,2,0
2022,2,SAUDI ARABIAN GRAND PRIX,MAG,Haas F1 Team,Q2,89.546,10.0,32.821,28.703,28.022,5.0,SOFT,False,280.0,324.0,298.0,329.0,23.4,25.3,59.0,1014.5,3.0,0.0,124.638,92.344,90.262,0,2,0
2022,2,SAUDI ARABIAN GRAND PRIX,OCO,Alpine,Q2,89.584,5.0,32.836,28.677,28.071,3.0,SOFT,True,284.0,319.0,299.0,326.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.026,90.76,90.139,0,2,0
2022,2,SAUDI ARABIAN GRAND PRIX,RUS,Mercedes,Q2,89.618,6.0,32.607,28.672,28.339,6.0,MEDIUM,False,287.0,315.0,299.0,323.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.839,90.664,90.983,0,2,0
2022,2,SAUDI ARABIAN GRAND PRIX,NOR,McLaren,Q2,89.651,11.0,32.721,28.669,28.261,3.0,SOFT,False,283.0,318.0,296.0,323.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.594,90.735,91.529,0,2,0
2022,2,SAUDI ARABIAN GRAND PRIX,RIC,McLaren,Q2,89.773,12.0,32.78,28.776,28.217,4.0,SOFT,False,282.0,314.0,289.0,321.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.506,91.527,91.186,0,2,0
2022,2,SAUDI ARABIAN GRAND PRIX,ZHO,Kick Sauber,Q2,89.819,13.0,33.028,28.714,28.077,5.0,SOFT,False,284.0,323.0,298.0,327.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.608,91.615,90.946,0,2,0
2022,2,SAUDI ARABIAN GRAND PRIX,MSC,Haas F1 Team,Q2,89.92,14.0,32.914,28.765,28.241,6.0,SOFT,False,283.0,322.0,300.0,327.0,23.4,25.3,59.0,1014.5,3.0,0.0,94.429,91.169,90.765,0,2,0
2022,2,SAUDI ARABIAN GRAND PRIX,STR,Aston Martin,Q2,91.009,15.0,33.294,29.201,28.514,8.0,SOFT,False,285.0,322.0,302.0,325.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.582,91.372,91.067,0,2,0
2022,2,SAUDI ARABIAN GRAND PRIX,PER,Red Bull Racing,Q3,88.2,1.0,32.299,28.323,27.578,2.0,SOFT,True,290.0,329.0,308.0,335.0,23.4,25.3,59.0,1014.5,3.0,0.0,91.563,90.36,89.833,0,3,0
2022,2,SAUDI ARABIAN GRAND PRIX,LEC,Ferrari,Q3,88.225,2.0,32.134,28.347,27.744,3.0,SOFT,True,287.0,320.0,300.0,325.0,23.4,25.3,59.0,1014.5,3.0,0.0,90.772,90.074,89.735,0,3,0
2022,2,SAUDI ARABIAN GRAND PRIX,SAI,Ferrari,Q3,88.402,3.0,32.289,28.482,27.631,7.0,SOFT,False,288.0,320.0,301.0,327.0,23.4,25.3,59.0,1014.5,3.0,0.0,91.139,90.32,90.009,0,3,0
2022,2,SAUDI ARABIAN GRAND PRIX,VER,Red Bull Racing,Q3,88.461,4.0,32.314,28.335,27.812,3.0,SOFT,True,290.0,326.0,302.0,334.0,23.4,25.3,59.0,1014.5,3.0,0.0,90.888,90.214,89.768,0,3,0
2022,2,SAUDI ARABIAN GRAND PRIX,OCO,Alpine,Q3,89.068,5.0,32.566,28.589,27.913,9.0,SOFT,False,288.0,320.0,302.0,326.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.026,90.76,90.139,0,3,0
2022,2,SAUDI ARABIAN GRAND PRIX,RUS,Mercedes,Q3,89.104,6.0,32.501,28.548,28.055,3.0,SOFT,True,286.0,313.0,296.0,322.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.839,90.664,90.983,0,3,0
2022,2,SAUDI ARABIAN GRAND PRIX,ALO,Alpine,Q3,89.147,7.0,32.724,28.581,27.842,2.0,SOFT,True,285.0,319.0,303.0,328.0,23.4,25.3,59.0,1014.5,3.0,0.0,92.381,90.944,90.296,0,3,0
2022,2,SAUDI ARABIAN GRAND PRIX,BOT,Kick Sauber,Q3,89.183,8.0,32.544,28.572,28.067,6.0,SOFT,True,285.0,321.0,297.0,326.0,23.4,25.3,59.0,1014.5,3.0,0.0,91.084,90.832,90.03,0,3,0
